year	quarter	600130DebtCapc	600130OperCapc	600130DeveCapc	600130EarnCapc	600680DebtCapc	600680OperCapc	600680DeveCapc	600680EarnCapc	CPI	RMB.US.Spot.rate	shorterm.interest.rate	M2.growth	GDP.growth	IVA.growth	financial.crisis
2012	4	29.923652	40.127306	-0.456	-0.71880073	2.3290449	-58.08892	237.5376562	1.04761746	2.67	6.24	5.60 	14.49 	7.9	10	0
2013	1	19.597891	-5.265569	-0.748	-0.08819362	-1.156372	-60.25707	-4.1362201	-0.16541421	2.36	6.22	5.60 	15.58 	7.7	9.6	0
2013	2	28.943837	8.185462	-1.45	-0.23916713	-1.2758963	-58.96065	-5.292541	-0.21818171	2.4	6.15	5.60 	15.27 	7.5	9.13	0
2013	3	32.671741	18.544807	-0.778	-0.35374016	-0.9350556	-57.29453	-4.409252	-0.19147614	2.48	6.13	5.60 	14.46 	7.8	10.1	0
2013	4	25.847411	31.405559	-2.49	-0.6560058	-1.0819562	-55.21884	-7.3877036	-0.26847183	2.62	6.09	5.60 	14.03 	7.7	10	0
2014	1	75.999918	-9.345282	-0.308	-0.12204764	-1.0379756	-59.86306	-3.81997	-0.13505804	2.33	6.1	5.60 	12.87 	7.4	8.7	0
2014	2	-2.696101	-3.60199	-1.03	-0.26947774	-0.7487017	-58.32737	-4.2497406	-0.12555056	2.22	6.23	5.60 	13.79 	7.5	8.9	0
2014	3	20.720596	6.309655	-0.747	-0.40368323	-0.3603756	-57.39466	6.1645437	-0.05811157	2.21	6.17	5.60 	12.63 	7.3	7.97	0
2014	4	29.463566	10.832707	-2.53	-0.70629123	-0.8694979	-52.50805	-6.3489013	-0.18302392	2.04	6.15	5.60 	11.68 	7.3	7.6	0
2015	1	42.958213	-12.863745	0.00077	-0.07068771	0.2926702	-59.05505	-4.8136163	-0.04666417	1.02	6.24	5.52 	10.52 	7	6.27	0
2015	2	40.164077	-5.440692	-1.4	-0.18533039	-0.7397929	-55.20667	-5.5860926	-0.12197752	1.27	6.2	5.10 	10.13 	7	6.27	0
2015	3	39.46092	-1.781801	-0.839	-0.29541476	0.3991677	-53.01466	-8.1550344	0.12160155	1.39	6.3	4.68 	13.25 	6.9	5.93	0
2015	4	5.134023	10.004169	-2.93	-0.57664016	1.6818133	2530.21525	-1.0872343	0.69422227	1.43	6.4	4.35 	13.50 	6.8	5.9	0
