Date,Open,High,Low,Close,Volume,Adj Close
1988-01-11,22849,22849,22543,22578,0,22578,
1988-01-08,22795,22962,22795,22873,0,22873,
1988-01-07,22800,22985,22670,22792,0,22792,
1988-01-06,21594,22793,21594,22791,0,22791,
1988-01-05,21235,21714,21235,21575,0,21575,
1988-01-04,21551,21551,21148,21217,0,21217,
1987-12-28,21522,21564,20937,21564,0,21564,
1987-12-24,22722,22793,22473,22543,0,22543,
1987-12-23,22728,22734,22595,22694,0,22694,
1987-12-22,22949,22980,22737,22741,0,22741,
1987-12-21,22850,23057,22850,22957,0,22957,
1987-12-18,22889,22899,22739,22827,0,22827,
1987-12-17,22837,22907,22797,22900,0,22900,
1987-12-16,22859,22939,22796,22819,0,22819,
1987-12-15,22972,23156,22838,22847,0,22847,
1987-12-14,23036,23091,22906,22926,0,22926,
1987-12-11,23262,23262,23008,23036,0,23036,
1987-12-10,22947,23281,22947,23281,0,23281,
1987-12-09,22976,23150,22866,22886,0,22886,
1987-12-08,22643,22951,22643,22948,0,22948,
1987-12-07,22703,22782,22581,22587,0,22587,
1987-12-04,22844,22924,22575,22603,0,22603,
1987-12-03,22904,22904,22686,22808,0,22808,
1987-12-02,22839,23026,22839,22915,0,22915,
1987-12-01,22662,22844,22302,22833,0,22833,
1987-11-30,22996,22996,22607,22687,0,22687,
1987-11-27,23289,23314,23115,23269,0,23269,
1987-11-26,23235,23306,23215,23282,0,23282,
1987-11-25,22906,23220,22906,23220,0,23220,
1987-11-24,22730,22946,22730,22856,0,22856,
1987-11-20,22633,22706,22515,22706,0,22706,
1987-11-19,22774,22870,22625,22669,0,22669,
1987-11-18,22316,22734,22175,22734,0,22734,
1987-11-17,22631,22681,22319,22344,0,22344,
1987-11-16,22451,22651,22451,22615,0,22615,
1987-11-13,21567,22455,21567,22448,0,22448,
1987-11-12,21047,21576,21047,21547,0,21547,
1987-11-11,21667,21757,20514,21037,0,21037,
1987-11-10,22393,22393,21667,21686,0,21686,
1987-11-09,22631,22631,22373,22418,0,22418,
1987-11-06,22647,22907,22647,22795,0,22795,
1987-11-05,23020,23020,22511,22630,0,22630,
1987-11-04,23328,23328,23040,23061,0,23061,
1987-11-02,23323,23359,23121,23359,0,23359,
1987-10-30,22053,22768,22053,22765,0,22765,
1987-10-29,22552,22552,22021,22034,0,22034,
1987-10-28,22845,23211,22558,22578,0,22578,
1987-10-27,22199,22884,22148,22835,0,22835,
1987-10-26,23289,23362,21616,22203,0,22203,
1987-10-23,24402,24402,23201,23201,0,23201,
1987-10-22,23954,24982,23954,24404,0,24404,
1987-10-20,25745,25745,21910,21910,0,21910,
1987-10-19,26357,26357,25637,25747,0,25747,
1987-10-16,26436,26436,26101,26367,0,26367,
1987-10-15,26624,26624,26373,26428,0,26428,
1987-10-14,26401,26647,26401,26646,0,26646,
1987-10-13,26278,26439,26262,26401,0,26401,
1987-10-12,26332,26332,26247,26285,0,26285,
1987-10-09,26272,26382,26255,26339,0,26339,
1987-10-08,25948,26287,25948,26287,0,26287,
1987-10-07,26076,26076,25770,25952,0,25952,
1987-10-06,26022,26089,25972,26089,0,26089,
1987-10-05,25999,26052,25984,26018,0,26018,
1987-10-02,25732,25876,25732,25862,0,25862,
1987-10-01,26014,26030,25716,25722,0,25722,
1987-09-30,25993,26013,25834,26011,0,26011,
1987-09-29,25853,26085,25853,25998,0,25998,
1987-09-28,25546,25919,25546,25837,0,25837,
1987-09-25,24954,25110,24942,25096,0,25096,
1987-09-24,24889,24992,24889,24945,0,24945,
1987-09-22,24906,24906,24744,24866,0,24866,
1987-09-21,24872,25125,24872,24912,0,24912,
1987-09-18,24862,24954,24806,24845,0,24845,
1987-09-17,24966,24966,24840,24855,0,24855,
1987-09-16,24962,24997,24868,24968,0,24968,
1987-09-14,24855,25122,24855,24954,0,24954,
1987-09-11,24814,24896,24800,24828,0,24828,
1987-09-10,24932,24968,24785,24795,0,24795,
1987-09-09,25209,25309,24911,24938,0,24938,
1987-09-08,24990,25247,24990,25204,0,25204,
1987-09-07,25364,25377,24996,25004,0,25004,
1987-09-04,25647,25809,25643,25744,0,25744,
1987-09-03,25937,25937,25557,25650,0,25650,
1987-09-02,26114,26127,25927,25947,0,25947,
1987-09-01,26041,26178,26041,26118,0,26118,
1987-08-31,26061,26160,26025,26029,0,26029,
1987-08-28,25973,26003,25881,25975,0,25975,
1987-08-27,25902,26041,25902,25969,0,25969,
1987-08-26,25688,25882,25688,25876,0,25876,
1987-08-25,25762,25789,25603,25643,0,25643,
1987-08-24,25767,25878,25697,25754,0,25754,
1987-08-21,25399,25627,25399,25559,0,25559,
1987-08-20,25258,25417,25258,25397,0,25397,
1987-08-19,25359,25384,25068,25232,0,25232,
1987-08-18,25379,25480,25312,25344,0,25344,
1987-08-17,25494,25504,25358,25379,0,25379,
1987-08-14,25579,25665,25482,25494,0,25494,
1987-08-13,25558,25600,25521,25576,0,25576,
1987-08-12,25293,25567,25293,25560,0,25560,
1987-08-11,25135,25356,25135,25283,0,25283,
1987-08-10,24811,25122,24811,25120,0,25120,
1987-08-07,24680,24813,24680,24801,0,24801,
1987-08-06,24316,24676,24316,24658,0,24658,
1987-08-05,24173,24310,24173,24297,0,24297,
1987-08-04,24473,24473,24142,24173,0,24173,
1987-08-03,24760,24775,24451,24484,0,24484,
1987-07-31,24524,24723,24433,24488,0,24488,
1987-07-30,24423,24533,24347,24510,0,24510,
