Date,Open,High,Low,Close,Volume,Adj Close
1998-04-01,200.84,202.92,200.61,202.92,000,202.92
1998-03-31,198.61,200.84,198.61,200.84,000,200.84
1998-03-30,199.28,199.28,198.33,198.61,000,198.61
1998-03-27,199.73,200.23,199.12,199.28,000,199.28
1998-03-26,199.10,199.73,198.56,199.73,000,199.73
1998-03-25,198.90,200.20,198.61,199.10,000,199.10
1998-03-24,197.71,198.91,197.71,198.90,000,198.90
1998-03-23,197.92,198.13,197.45,197.71,000,197.71
1998-03-20,198.33,198.55,197.72,197.93,000,197.93
1998-03-19,197.19,198.33,197.19,198.33,000,198.33
1998-03-18,196.77,197.19,196.23,197.19,000,197.19
1998-03-17,197.34,197.60,196.46,196.77,000,196.77
1998-03-16,195.89,197.38,195.89,197.34,000,197.34
1998-03-13,195.66,196.54,195.66,195.89,000,195.89
1998-03-12,195.53,195.72,194.83,195.66,000,195.66
1998-03-11,194.26,195.68,194.26,195.53,000,195.53
1998-03-10,192.24,194.27,192.24,194.26,000,194.26
1998-03-09,193.75,193.76,192.16,192.24,000,192.24
1998-03-06,191.06,194.00,191.06,193.75,000,193.75
1998-03-05,193.88,193.88,190.90,191.06,000,191.06
1998-03-04,194.21,194.21,193.30,193.88,000,193.88
1998-03-03,194.19,194.21,193.06,194.21,000,194.21
1998-03-02,193.58,194.98,193.58,194.19,000,194.19
1998-02-27,194.17,194.17,193.53,193.58,000,193.58
1998-02-26,192.71,194.17,192.50,194.17,000,194.17
1998-02-25,190.90,192.71,190.90,192.71,000,192.71
1998-02-24,191.46,191.46,190.32,190.90,000,190.90
1998-02-23,190.06,191.46,189.98,191.46,000,191.46
1998-02-20,190.26,190.26,189.04,190.06,000,190.06
1998-02-19,189.98,190.44,189.53,190.26,000,190.26
1998-02-18,189.12,189.98,188.82,189.98,000,189.98
1998-02-17,189.37,190.09,188.97,189.12,000,189.12
1998-02-13,188.55,189.37,188.26,189.37,000,189.37
1998-02-12,188.27,188.55,187.37,188.55,000,188.55
1998-02-11,187.23,188.28,187.16,188.27,000,188.27
1998-02-10,185.36,187.33,185.36,187.23,000,187.23
1998-02-09,184.61,185.37,184.61,185.36,000,185.36
1998-02-06,184.07,184.64,184.07,184.61,000,184.61
1998-02-05,183.33,185.08,183.33,184.07,000,184.07
1998-02-04,181.56,183.34,181.02,183.33,000,183.33
1998-02-03,179.82,181.56,179.63,181.56,000,181.56
1998-02-02,177.54,179.85,177.54,179.82,000,179.82
1998-01-30,178.29,178.57,177.48,177.54,000,177.54
1998-01-29,177.02,178.66,176.81,178.29,000,178.29
1998-01-28,174.50,177.05,174.50,177.02,000,177.02
1998-01-27,173.86,174.80,173.77,174.50,000,174.50
1998-01-26,175.27,175.61,173.69,173.86,000,173.86
1998-01-23,175.75,176.51,174.95,175.27,000,175.27
1998-01-22,177.75,177.75,175.51,175.75,000,175.75
1998-01-21,178.31,178.31,176.76,177.75,000,177.75
1998-01-20,176.10,178.32,176.10,178.31,000,178.31
1998-01-16,174.01,176.19,173.99,176.10,000,176.10
1998-01-15,173.83,174.49,173.83,174.01,000,174.01
1998-01-14,172.22,173.94,172.22,173.83,000,173.83
1998-01-13,168.79,172.29,168.79,172.22,000,172.22
1998-01-12,169.97,169.97,166.57,168.79,000,168.79
1998-01-09,175.77,175.84,169.68,169.97,000,169.97
1998-01-08,177.94,177.98,175.76,175.77,000,175.77
1998-01-07,179.16,179.16,176.46,177.94,000,177.94
1998-01-06,181.04,181.04,178.88,179.16,000,179.16
1998-01-05,181.00,181.89,180.68,181.04,000,181.04
1998-01-02,181.16,181.43,179.90,181.00,000,181.00
1997-12-31,179.80,181.82,179.80,181.16,000,181.16
