Date,Open,High,Low,Close,Volume,Adj Close
2013-05-16,554.85,556.86,552.18,553.62,54600,553.62
2013-05-15,552.76,557.30,552.16,556.01,000,556.01
2013-05-14,547.17,554.11,547.17,554.11,000,554.11
2013-05-13,547.74,548.50,545.89,547.05,47400,547.05
2013-05-10,543.48,548.59,543.48,548.58,000,548.58
2013-05-09,545.32,545.59,542.45,543.48,50400,543.48
2013-05-08,543.06,545.33,541.11,545.33,000,545.33
2013-05-07,537.66,543.07,537.32,543.07,54200,543.07
2013-05-06,535.26,537.89,535.26,537.66,000,537.66
2013-05-03,526.27,537.75,526.27,535.24,000,535.24
2013-05-02,517.68,526.79,517.68,526.23,62800,526.23
2013-05-01,529.60,529.60,517.68,517.68,95800,517.68
2013-04-30,526.86,529.60,524.93,529.60,74400,529.60
2013-04-29,523.04,527.55,523.04,526.88,54000,526.88
2013-04-26,526.38,526.38,521.70,523.00,000,523.00
2013-04-25,522.94,528.99,522.94,526.35,000,526.35
2013-04-24,519.56,522.89,519.22,522.89,60400,522.89
2013-04-23,511.50,519.56,511.50,519.56,000,519.56
2013-04-22,510.86,512.33,503.44,511.50,000,511.50
2013-04-19,504.70,511.61,503.73,510.86,65400,510.86
2013-04-18,508.05,509.68,503.33,504.70,67200,504.70
2013-04-17,516.66,516.66,504.27,508.05,75000,508.05
2013-04-16,508.24,517.16,508.24,516.66,63000,516.66
2013-04-15,526.59,526.59,506.80,508.24,82200,508.24
2013-04-12,529.02,529.02,523.78,526.64,51200,526.64
2013-04-11,528.77,531.40,528.06,529.02,54000,529.02
2013-04-10,519.71,529.37,519.71,528.77,000,528.77
2013-04-09,522.18,522.64,519.63,519.71,63400,519.71
2013-04-08,517.47,522.18,516.36,522.18,47800,522.18
2013-04-05,518.71,518.71,510.47,517.47,62000,517.47
2013-04-04,514.45,518.73,514.13,518.71,52800,518.71
2013-04-03,522.25,522.92,513.84,514.45,66000,514.45
2013-04-02,524.78,528.16,521.25,522.25,55000,522.25
2013-04-01,531.38,531.39,522.42,524.78,65600,524.78
2013-03-28,530.65,532.44,529.92,531.38,66800,531.38
2013-03-27,530.93,530.93,525.29,530.65,49200,530.65
2013-03-26,528.35,531.11,528.35,530.95,000,530.95
2013-03-25,528.62,533.06,525.99,528.33,53200,528.33
2013-03-22,527.21,529.49,527.21,528.62,46000,528.62
2013-03-21,531.64,531.64,525.62,527.21,48000,527.21
2013-03-20,527.19,531.66,527.19,531.64,46800,531.64
2013-03-19,528.59,530.52,523.44,527.16,55200,527.16
2013-03-18,531.73,531.73,525.76,528.58,000,528.58
2013-03-15,531.68,532.68,529.94,531.73,000,531.73
2013-03-14,526.08,531.67,526.08,531.67,000,531.67
2013-03-13,523.48,526.53,522.79,526.08,000,526.08
2013-03-12,525.47,525.47,522.64,523.48,59800,523.48
2013-03-11,525.69,525.69,523.60,525.48,51200,525.48
2013-03-08,521.59,525.76,521.59,525.72,58800,525.72
2013-03-07,519.05,521.52,518.71,521.48,000,521.48
2013-03-06,517.30,519.32,517.30,519.05,000,519.05
2013-03-05,511.74,518.49,511.74,517.30,000,517.30
2013-03-04,512.40,512.40,507.69,511.74,70400,511.74
2013-03-01,510.43,513.03,504.15,512.40,000,512.40
2013-02-28,509.26,512.79,508.92,510.43,000,510.43
2013-02-27,503.67,511.53,503.42,509.26,68400,509.26
2013-02-26,501.34,504.88,500.69,503.67,69400,503.67
2013-02-25,512.53,514.44,501.34,501.34,65600,501.34
2013-02-22,507.63,512.53,507.63,512.53,59400,512.53
2013-02-21,511.90,511.90,504.94,507.61,70200,507.61
2013-02-20,521.93,521.93,511.90,511.90,000,511.90
2013-02-19,516.43,521.94,516.43,521.94,67800,521.94
